Starting_gene(s)_symbol	Starting_gene(s)_FBgn	Interacting_gene(s)_symbol	Interacting_gene(s)_FBgn	Interaction_type
puc	fbgn0243512	wg	fbgn0284084	suppressible
Pink1	fbgn0029891	Mul1	fbgn0035483	enhanceable
lncRNA:roX1	fbgn0019661	msl-1|msl-2	fbgn0005617|fbgn0005616	suppressible
mir-bft	fbgn0263107	ppk28	fbgn0030795	suppressible
ebd1	fbgn0035153	ewg	fbgn0005427	enhanceable
Fbxl7	fbgn0038385	wts	fbgn0011739	enhanceable
tor	fbgn0003733	Su(tor)2-180	fbgn0014044	suppressible
dgo	fbgn0086898	CG31687	fbgn0051687	enhanceable
klu	fbgn0013469	N	fbgn0004647	suppressible
Crag	fbgn0025864	Rab11	fbgn0015790	suppressible
H	fbgn0001169	Sin3A	fbgn0022764	enhanceable
dsh	fbgn0000499	Cyp310a1	fbgn0032693	suppressible
hep	fbgn0010303	Rac1	fbgn0010333	suppressible
Nup44A	fbgn0033247	Nprl3	fbgn0036397	suppressible
sev	fbgn0003366	Cbl	fbgn0020224	suppressible
Cap-H2	fbgn0037831	glu	fbgn0015391	enhanceable
wg	fbgn0284084	Snx3	fbgn0038065	suppressible
l(2)gd1	fbgn0261983	N	fbgn0004647	enhanceable
trc	fbgn0003744	Graf	fbgn0030685	enhanceable
hpo|wts	fbgn0261456|fbgn0011739	yki	fbgn0034970	suppressible
Ser	fbgn0004197	l(2)gd1	fbgn0261983	suppressible
mei-41	fbgn0004367	aurA	fbgn0000147	enhanceable
?-Cat	fbgn0010215	shg	fbgn0003391	enhanceable
Vang	fbgn0015838	grh	fbgn0259211	enhanceable
RpII140	fbgn0262955	su(RpII140<up>Z36</up>)S17	fbgn0025130	suppressible
Psc	fbgn0005624	pcm	fbgn0020261	enhanceable
upd1	fbgn0004956	Rho1	fbgn0014020	suppressible
DCTN1-p150	fbgn0001108	bbg	fbgn0087007	enhanceable
erm	fbgn0031375	klu	fbgn0013469	suppressible
per|tim	fbgn0003068|fbgn0014396	cry	fbgn0025680	suppressible
raw	fbgn0003209	lncRNA:acal	fbgn0283426	suppressible
G?q	fbgn0004435	fra	fbgn0011592	enhanceable
Smox	fbgn0025800	GstE8	fbgn0063492	suppressible
Dl	fbgn0000463	Ser	fbgn0004197	suppressible
WASp	fbgn0024273	nwk	fbgn0263456	enhanceable
Egfr	fbgn0003731	vvl	fbgn0086680	enhanceable
Debcl	fbgn0029131	Dark	fbgn0263864	suppressible
sv	fbgn0005561	ttk	fbgn0003870	enhanceable
S-Lap1	fbgn0035915	S-Lap5	fbgn0033860	enhanceable
grim	fbgn0015946	crb	fbgn0259685	enhanceable
N	fbgn0004647	E(nd)195	fbgn0013936	enhanceable
E2f1	fbgn0011766	Su(E1)-A	fbgn0262767	suppressible
w	fbgn0003996	ph-p	fbgn0004861	suppressible
polo	fbgn0003124	tws	fbgn0004889	enhanceable
Pi3K92E	fbgn0015279	Pdk1	fbgn0020386	enhanceable
ac	fbgn0000022	emc	fbgn0000575	enhanceable
N	fbgn0004647	Dl	fbgn0000463	suppressible
Antp	fbgn0260642	art	fbgn0004475	enhanceable
clu	fbgn0034087	park	fbgn0041100	enhanceable
Ras85D	fbgn0003205	step	fbgn0086779	suppressible
Apc2	fbgn0026598	Apc	fbgn0015589	enhanceable
comt	fbgn0000346	shi	fbgn0003392	suppressible
park	fbgn0041100	ref(2)P	fbgn0003231	suppressible
btl|stumps	fbgn0285896|fbgn0020299	EP1207	fbgn0083243	suppressible
ci	fbgn0004859	pb	fbgn0051481	suppressible
E(spl)m4-BFM	fbgn0002629	N	fbgn0004647	suppressible
Pka-R2	fbgn0022382	CycE	fbgn0010382	suppressible
drpr	fbgn0027594	Itgbn	fbgn0010395	enhanceable
lid	fbgn0031759	Myc	fbgn0262656	enhanceable
dom	fbgn0020306	rept	fbgn0040075	enhanceable
Klf15	fbgn0025679	SPARC	fbgn0026562	suppressible
rpr	fbgn0011706	mir-14	fbgn0262447	suppressible
Mad	fbgn0011648	nmo	fbgn0011817	suppressible
yki	fbgn0034970	Tgi	fbgn0036373	suppressible
HtrA2	fbgn0038233	Diap1	fbgn0260635	suppressible
ap	fbgn0267978	ap::Bx	fbgn0061178	suppressible
ninaE	fbgn0002940	Xbp1	fbgn0021872	enhanceable
AdamTS-A	fbgn0286071	vkg	fbgn0016075	suppressible
Akt1	fbgn0010379	wdb	fbgn0027492	suppressible
Pp2B-14D	fbgn0011826	sra	fbgn0086370	enhanceable
Ssdp	fbgn0011481	Mf	fbgn0038294	enhanceable
msk	fbgn0026252	mbc	fbgn0015513	enhanceable
Gr61a	fbgn0035167	Gr43a	fbgn0041243	enhanceable
Egfr	fbgn0003731	rl	fbgn0003256	suppressible
nbs	fbgn0261530	p53	fbgn0039044	suppressible
egr	fbgn0033483	hep	fbgn0010303	suppressible
?-Cat	fbgn0010215	SCAR	fbgn0041781	suppressible
spz	fbgn0003495	Tl	fbgn0262473	enhanceable
Diedel	fbgn0039666	key	fbgn0041205	suppressible
RpII140	fbgn0262955	su(RpII140<up>Z36</up>)S5	fbgn0025123	suppressible
Raf	fbgn0003079	lilli	fbgn0041111	enhanceable
rho	fbgn0004635	Sos	fbgn0001965	suppressible
Ras85D|kay|scrib	fbgn0003205|fbgn0001297|fbgn0263289	Ets21C	fbgn0005660	suppressible
neur	fbgn0002932	H	fbgn0001169	suppressible
ptc	fbgn0003892	smo	fbgn0003444	suppressible
Ctr1B	fbgn0062412	park	fbgn0041100	suppressible
p53	fbgn0039044	wts	fbgn0011739	suppressible
hpo	fbgn0261456	Madm	fbgn0027497	suppressible
Hsp60D	fbgn0032525	Uba2	fbgn0029113	enhanceable
cact	fbgn0000250	Tl	fbgn0262473	suppressible
hb|nos	fbgn0001180|fbgn0002962	bcd	fbgn0000166	suppressible
Wdfy2	fbgn0032246	Lkb1	fbgn0038167	enhanceable
Nf1	fbgn0015269	rl	fbgn0003256	suppressible
Amun	fbgn0030328	H	fbgn0001169	suppressible
eve	fbgn0000606	beat-Ia	fbgn0013433	enhanceable
dpp	fbgn0000490	Snr1	fbgn0011715	enhanceable
robo3|robo1	fbgn0041097|fbgn0005631	Abl	fbgn0000017	enhanceable
Dl|lola|psq	fbgn0000463|fbgn0283521|fbgn0263102	HDAC1	fbgn0015805	suppressible
pbl	fbgn0003041	stg	fbgn0003525	suppressible
Arr2	fbgn0000121	CDase	fbgn0039774	suppressible
Tm1	fbgn0003721	E(To)13	fbgn0046122	suppressible
btl|stumps	fbgn0285896|fbgn0020299	Amun	fbgn0030328	enhanceable
hop	fbgn0004864	Su(var)2-10	fbgn0003612	enhanceable
RpII140	fbgn0262955	su(RpII140<up>Z36</up>)S3	fbgn0025125	suppressible
bip1	fbgn0026263	Adgf-A	fbgn0036752	suppressible
Oamb	fbgn0024944	CaMKII	fbgn0264607	suppressible
eg	fbgn0000560	robo2	fbgn0002543	suppressible
Rop	fbgn0004574	shi	fbgn0003392	suppressible
dgo	fbgn0086898	baz	fbgn0000163	enhanceable
tum	fbgn0086356	rho|vn	fbgn0004635|fbgn0003984	suppressible
Gr32a	fbgn0041246	TrpA1	fbgn0035934	suppressible
kibra	fbgn0262127	CycE	fbgn0010382	suppressible
gl	fbgn0004618	h	fbgn0001168	enhanceable
puc	fbgn0243512	hep	fbgn0010303	suppressible
Rbfox1	fbgn0052062	N	fbgn0004647	enhanceable
Dref	fbgn0015664	mys	fbgn0004657	enhanceable
foxo	fbgn0038197	bsk	fbgn0000229	suppressible
G?q	fbgn0004435	stac	fbgn0266719	suppressible
w	fbgn0003996	Psc	fbgn0005624	enhanceable
hh	fbgn0004644	disp	fbgn0029088	suppressible
Bx	fbgn0265598	RpS21	fbgn0015521	enhanceable
ple	fbgn0005626	Ddc	fbgn0000422	enhanceable
Nsf2	fbgn0266464	l(2)37Cg	fbgn0086447	suppressible
trc	fbgn0003744	wts	fbgn0011739	enhanceable
w	fbgn0003996	z	fbgn0004050	enhanceable
N	fbgn0004647	Xxylt|shams	fbgn0034959|fbgn0039273	suppressible
Ssdp	fbgn0011481	G?s	fbgn0001123	enhanceable
Rca1	fbgn0017551	CycE	fbgn0010382	suppressible
Ras85D|sev	fbgn0003205|fbgn0003366	l(3)05820	fbgn0010876	suppressible
Egfr	fbgn0003731	aop	fbgn0000097	suppressible
Rac1	fbgn0010333	CG6701	fbgn0033889	enhanceable
pnr	fbgn0003117	Stip1	fbgn0024352	suppressible
Ras85D	fbgn0003205	puc	fbgn0243512	suppressible
His2Av	fbgn0001197	CG8677	fbgn0026577	enhanceable
ct	fbgn0004198	chic	fbgn0000308	suppressible
mam	fbgn0002643	Nipped-B	fbgn0026401	enhanceable
Dok	fbgn0029944	Shark	fbgn0015295	suppressible
w	fbgn0003996	Pcl	fbgn0003044	suppressible
RYBP	fbgn0034763	slmb	fbgn0283468	enhanceable
N	fbgn0004647	upd1	fbgn0004956	suppressible
Gk1	fbgn0025592	g	fbgn0001087	enhanceable
cindr	fbgn0027598	ena	fbgn0000578	enhanceable
N	fbgn0004647	dom	fbgn0020306	suppressible
L	fbgn0267825	pnr	fbgn0003117	suppressible
ninaE	fbgn0002940	fred	fbgn0051774	enhanceable
Cat	fbgn0000261	p38a|p38b	fbgn0015765|fbgn0024846	suppressible
in	fbgn0001259	in::mwh	fbgn0262723	suppressible
fzr	fbgn0262699	KP78b	fbgn0026063	suppressible
L	fbgn0267825	EP2012	fbgn0084445	suppressible
rut	fbgn0003301	Rgk1	fbgn0264753	enhanceable
Syx7	fbgn0267849	Moe	fbgn0011661	suppressible
spok	fbgn0086917	spo	fbgn0003486	suppressible
N	fbgn0004647	RpL38	fbgn0040007	suppressible
m|sn	fbgn0002577|fbgn0003447	f	fbgn0262111	enhanceable
fbl	fbgn0011205	Cat|Sod1|Trxr-1	fbgn0000261|fbgn0003462|fbgn0020653	suppressible
bin3	fbgn0263144	bcd	fbgn0000166	enhanceable
btl	fbgn0285896	tkv	fbgn0003716	suppressible
N	fbgn0004647	bs	fbgn0004101	enhanceable
Dsor1	fbgn0010269	rl	fbgn0003256	suppressible
Smn	fbgn0036641	stumps	fbgn0020299	enhanceable
hiw	fbgn0030600	bsk	fbgn0000229	suppressible
trio	fbgn0024277	SCAR	fbgn0041781	enhanceable
osk	fbgn0003015	vls	fbgn0003978	suppressible
Hrb87F	fbgn0004237	TBPH	fbgn0025790	enhanceable
Rab11	fbgn0015790	Tak1	fbgn0026323	enhanceable
N	fbgn0004647	E(spl)m?-HLH	fbgn0002733	suppressible
hid	fbgn0003997	p53	fbgn0039044	suppressible
Arr2	fbgn0000121	norpA	fbgn0262738	suppressible
jus	fbgn0039647	shakB	fbgn0085387	suppressible
ci	fbgn0004859	su(Hw)	fbgn0003567	suppressible
Smn	fbgn0036641	CG13775	fbgn0031874	suppressible
da	fbgn0267821	Su(da<up>lyh</up>)22C1	fbgn0026350	suppressible
sn	fbgn0003447	m	fbgn0002577	enhanceable
cact	fbgn0000250	grk	fbgn0001137	enhanceable
egr	fbgn0033483	Mtl|Rac1|Rac2	fbgn0039532|fbgn0010333|fbgn0014011	suppressible
rl	fbgn0003256	TfIIA-S	fbgn0013347	suppressible
Pc	fbgn0003042	M(3)80	fbgn0002618	suppressible
Apc	fbgn0015589	sgg	fbgn0003371	suppressible
Wee1	fbgn0011737	lok	fbgn0019686	suppressible
H	fbgn0001169	spen	fbgn0016977	enhanceable
crol	fbgn0020309	Axn	fbgn0026597	suppressible
lncRNA:roX1	fbgn0019661	loqs	fbgn0032515	enhanceable
mio	fbgn0031399	Nprl3	fbgn0036397	suppressible
stan	fbgn0024836	gish	fbgn0250823	enhanceable
Mlp84B	fbgn0014863	sls	fbgn0086906	enhanceable
TrpA1	fbgn0035934	VGlut	fbgn0031424	suppressible
para	fbgn0285944	chn	fbgn0015371	enhanceable
Gyc89Db	fbgn0038436	Gyc89Da	fbgn0038435	enhanceable
Rok	fbgn0026181	sqh	fbgn0003514	suppressible
Vps8	fbgn0035704	lt	fbgn0002566	enhanceable
Pten	fbgn0026379	hppy	fbgn0263395	suppressible
mei-9	fbgn0002707	rad201	fbgn0260438	suppressible
Pc	fbgn0003042	Hsp83	fbgn0001233	suppressible
cindr	fbgn0027598	mim	fbgn0053558	suppressible
vvl	fbgn0086680	Mad	fbgn0011648	enhanceable
Egfr	fbgn0003731	ed	fbgn0000547	enhanceable
fz	fbgn0001085	dsh	fbgn0000499	enhanceable
SH3PX1	fbgn0040475	pan	fbgn0085432	suppressible
tkv	fbgn0003716	shn	fbgn0003396	enhanceable
upd1	fbgn0004956	E(bx)	fbgn0000541	suppressible
Dref	fbgn0015664	l(2)k05448	fbgn0022169	suppressible
Smox	fbgn0025800	CG31436	fbgn0051436	suppressible
tra	fbgn0003741	oc	fbgn0004102	suppressible
hop	fbgn0004864	CG15211	fbgn0030234	suppressible
smo	fbgn0003444	E(smoDN)2243	fbgn0083281	enhanceable
Myc	fbgn0262656	mir-308	fbgn0262407	suppressible
Ret	fbgn0011829	l(3)S009515	fbgn0085159	suppressible
Snr1	fbgn0011715	CycD	fbgn0010315	suppressible
ovo	fbgn0003028	tal	fbgn0087003	suppressible
Myb	fbgn0002914	CycB	fbgn0000405	suppressible
Antp|Pc	fbgn0260642|fbgn0003042	brm	fbgn0000212	suppressible
net	fbgn0002931	mor	fbgn0002783	enhanceable
Bx|ap	fbgn0265598|fbgn0267978	sbb	fbgn0285917	suppressible
cindr	fbgn0027598	ArfGAP3	fbgn0037182	suppressible
para	fbgn0285944	LanA	fbgn0002526	suppressible
Atg1	fbgn0260945	Tor	fbgn0021796	enhanceable
Alu	fbgn0000070	ds	fbgn0284247	enhanceable
sev	fbgn0003366	ssh	fbgn0029157	suppressible
gcm	fbgn0014179	robo2	fbgn0002543	enhanceable
Egfr	fbgn0003731	Fak	fbgn0020440	suppressible
lark	fbgn0011640	dco	fbgn0002413	enhanceable
Utx	fbgn0260749	E(z)	fbgn0000629	suppressible
pico	fbgn0261811	ena	fbgn0000578	suppressible
Gfrl	fbgn0262869	Fas2	fbgn0000635	enhanceable
Abl	fbgn0000017	fax	fbgn0014163	enhanceable
Mettl3	fbgn0039139	N	fbgn0004647	suppressible
dpp	fbgn0000490	tkv	fbgn0003716	enhanceable
w	fbgn0003996	E(w<up>a</up>)757	fbgn0020055	enhanceable
Psc	fbgn0005624	vtd	fbgn0260987	suppressible
mir-285	fbgn0262401	hpo	fbgn0261456	suppressible
lawc	fbgn0262976	Pros?6	fbgn0002284	enhanceable
Pkn	fbgn0020621	flw	fbgn0000711	enhanceable
CycE	fbgn0010382	S(CycE<up>JP</up>)43S1	fbgn0082621	suppressible
grk	fbgn0001137	Pvr	fbgn0032006	suppressible
mbl	fbgn0265487	CG31751	fbgn0086909	enhanceable
Egfr	fbgn0003731	E(Egfr)C12	fbgn0023223	enhanceable
Atg1	fbgn0260945	Atg17	fbgn0037363	suppressible
spg	fbgn0264324	sev	fbgn0003366	suppressible
E2f1	fbgn0011766	arm	fbgn0000117	suppressible
N	fbgn0004647	lark	fbgn0011640	enhanceable
elav	fbgn0260400	sli	fbgn0264089	enhanceable
dpp	fbgn0000490	Su(dpp)YE12	fbgn0084432	suppressible
Ras85D	fbgn0003205	slbo	fbgn0005638	suppressible
Usp5	fbgn0035402	Diap1	fbgn0260635	suppressible
mwh	fbgn0264272	gish	fbgn0250823	enhanceable
shi	fbgn0003392	awd	fbgn0000150	enhanceable
rut	fbgn0003301	Rac1	fbgn0010333	suppressible
SH3PX1	fbgn0040475	TrpA1	fbgn0035934	suppressible
w	fbgn0003996	Sce	fbgn0003330	suppressible
fz	fbgn0001085	Wnt5	fbgn0010194	enhanceable
bam	fbgn0000158	Nedd8	fbgn0032725	enhanceable
Chi	fbgn0013764	ap	fbgn0267978	enhanceable
slbo	fbgn0005638	Stat92E	fbgn0016917	suppressible
rho	fbgn0004635	rasp	fbgn0024194	suppressible
msl-3|sc|sisA	fbgn0002775|fbgn0004170|fbgn0003411	Sxl	fbgn0264270	suppressible
Maf1	fbgn0267861	InR	fbgn0283499	suppressible
Nsf2	fbgn0266464	Syx5	fbgn0011708	enhanceable
par-1	fbgn0260934	sd	fbgn0003345	suppressible
EcR	fbgn0000546	mys	fbgn0004657	enhanceable
robo1	fbgn0005631	fra::robo1	fbgn0027347	suppressible
cry|norpA	fbgn0025680|fbgn0262738	trpl	fbgn0005614	suppressible
ci	fbgn0004859	rdx	fbgn0264493	enhanceable
tnc	fbgn0039257	mys	fbgn0004657	suppressible
myo	fbgn0026199	sgg	fbgn0003371	suppressible
Pten	fbgn0026379	Atg1	fbgn0260945	suppressible
egr	fbgn0033483	PHGPx	fbgn0035438	suppressible
Mer	fbgn0086384	ex	fbgn0004583	enhanceable
vir	fbgn0003977	Mettl3	fbgn0039139	suppressible
Pak	fbgn0267698	bsk	fbgn0000229	suppressible
parvin	fbgn0052528	Eip93F	fbgn0264490	enhanceable
pan	fbgn0085432	tws	fbgn0004889	enhanceable
CycE	fbgn0010382	dap	fbgn0010316	suppressible
sc|sisA	fbgn0004170|fbgn0003411	msl-1	fbgn0005617	enhanceable
dom	fbgn0020306	E(Pc)	fbgn0000581	enhanceable
mGluR	fbgn0019985	Fmr1	fbgn0028734	enhanceable
sds22	fbgn0028992	puc	fbgn0243512	suppressible
rpr	fbgn0011706	Ras85D	fbgn0003205	enhanceable
sli	fbgn0264089	if	fbgn0001250	enhanceable
RacGAP84C	fbgn0045843	hppy	fbgn0263395	enhanceable
CycB	fbgn0000405	fzr	fbgn0262699	suppressible
cno	fbgn0259212	bsk	fbgn0000229	suppressible
dom	fbgn0020306	Atg12	fbgn0036255	enhanceable
Dcp-1	fbgn0010501	psq	fbgn0263102	enhanceable
skd	fbgn0003415	kto	fbgn0001324	enhanceable
Ras85D	fbgn0003205	kay	fbgn0001297	suppressible
DCTN1-p150	fbgn0001108	Khc	fbgn0001308	suppressible
crm	fbgn0000376	Su(var)3-9	fbgn0263755	enhanceable
Bx	fbgn0265598	Hydr2	fbgn0014906	enhanceable
eff	fbgn0011217	mr	fbgn0002791	enhanceable
Su(z)12	fbgn0020887	esc	fbgn0000588	enhanceable
PNUTS	fbgn0053526	RpL27A	fbgn0285948	suppressible
ninaA	fbgn0002936	ninaE	fbgn0002940	suppressible
Tl	fbgn0262473	Myd88	fbgn0033402	suppressible
pbl	fbgn0003041	Rac2	fbgn0014011	suppressible
AMPK?	fbgn0023169	bmm	fbgn0036449	suppressible
tup	fbgn0003896	B	fbgn0000154	suppressible
rau	fbgn0031745	sty	fbgn0014388	suppressible
rux	fbgn0003302	ebi	fbgn0263933	enhanceable
chb	fbgn0021760	CG34021	fbgn0054021	suppressible
Pi3K68D	fbgn0015278	hemo	fbgn0262823	suppressible
pbl	fbgn0003041	CG3603	fbgn0029648	suppressible
mor	fbgn0002783	EloC	fbgn0266711	suppressible
Tsp42Ej	fbgn0033132	ninaE	fbgn0002940	suppressible
psh	fbgn0030926	modSP	fbgn0051217	enhanceable
Doc2	fbgn0035956	pnr	fbgn0003117	enhanceable
Tpi	fbgn0086355	Hsc70-4	fbgn0266599	enhanceable
msk	fbgn0026252	Ced-12	fbgn0032409	enhanceable
hid	fbgn0003997	Dark	fbgn0263864	suppressible
Cul1	fbgn0015509	Tor	fbgn0021796	suppressible
Tsp	fbgn0031850	mew	fbgn0004456	enhanceable
E2f1	fbgn0011766	E2f2	fbgn0024371	suppressible
N	fbgn0004647	crb	fbgn0259685	suppressible
svp	fbgn0003651	Raf	fbgn0003079	enhanceable
Dref	fbgn0015664	stau	fbgn0003520	suppressible
fz2	fbgn0016797	hid	fbgn0003997	enhanceable
Dl	fbgn0000463	Lrrk	fbgn0038816	enhanceable
csw	fbgn0000382	Sos	fbgn0001965	enhanceable
sno	fbgn0265630	Dl	fbgn0000463	suppressible
SH3PX1	fbgn0040475	Ras85D	fbgn0003205	suppressible
Dcp-1	fbgn0010501	rpr	fbgn0011706	enhanceable
run	fbgn0003300	l(2)41Ae	fbgn0004660	enhanceable
dlg1	fbgn0001624	baz	fbgn0000163	suppressible
5-HT1B	fbgn0263116	cry	fbgn0025680	suppressible
dom	fbgn0020306	mam	fbgn0002643	enhanceable
egr	fbgn0033483	Rab5	fbgn0014010	enhanceable
sina	fbgn0003410	pnut	fbgn0013726	enhanceable
boss	fbgn0000206	cdi	fbgn0004876	suppressible
Sulf1	fbgn0040271	dally	fbgn0263930	suppressible
Mps1	fbgn0000063	alt	fbgn0038535	suppressible
Pax	fbgn0041789	cdi	fbgn0004876	suppressible
drm	fbgn0024244	bowl	fbgn0004893	suppressible
ap	fbgn0267978	mod(mdg4)	fbgn0002781	suppressible
sl	fbgn0003416	spi	fbgn0005672	suppressible
Rtca	fbgn0025630	Archease	fbgn0038893	suppressible
rhea	fbgn0260442	CalpB	fbgn0025866	enhanceable
Orc2	fbgn0015270	DNApol-?58	fbgn0035644	enhanceable
wntD	fbgn0038134	Cerk	fbgn0037315	suppressible
dally	fbgn0263930	tkv	fbgn0003716	suppressible
Raf::tor	fbgn0013724	TfIIA-S	fbgn0013347	suppressible
Xport-A	fbgn0038749	trpl	fbgn0005614	enhanceable
N	fbgn0004647	anon-XXIV	fbgn0019844	enhanceable
w	fbgn0003996	Low|Mow	fbgn0011646|fbgn0017571	enhanceable
Ubx	fbgn0003944	Trl	fbgn0013263	enhanceable
babo	fbgn0011300	Smox	fbgn0025800	suppressible
para	fbgn0285944	Atp?	fbgn0002921	enhanceable
htl::tor	fbgn0014854	vap	fbgn0003969	suppressible
ed	fbgn0000547	Ras85D	fbgn0003205	suppressible
tRNA:iMet-CAT-1-3	fbgn0052482	RpS3	fbgn0002622	suppressible
ct	fbgn0004198	Nipped-B	fbgn0026401	enhanceable
CycB	fbgn0000405	Cdk1	fbgn0004106	enhanceable
mod(mdg4)	fbgn0002781	brm|trx	fbgn0000212|fbgn0003862	enhanceable
bsk	fbgn0000229	msn	fbgn0010909	enhanceable
Cpes	fbgn0025335	norpA	fbgn0262738	suppressible
rpr	fbgn0011706	Diap1	fbgn0260635	suppressible
Src64B	fbgn0262733	drk	fbgn0004638	suppressible
kibra	fbgn0262127	Mer	fbgn0086384	enhanceable
hpo	fbgn0261456	Tao	fbgn0031030	suppressible
Iswi	fbgn0011604	Acf	fbgn0027620	enhanceable
chb	fbgn0021760	aop	fbgn0000097	enhanceable
Ubx	fbgn0003944	Pcl	fbgn0003044	enhanceable
hh	fbgn0004644	Su(hh)IV	fbgn0043563	suppressible
sc	fbgn0004170	su(Hw)	fbgn0003567	suppressible
aop	fbgn0000097	shg	fbgn0003391	suppressible
fru	fbgn0004652	Kr	fbgn0001325	enhanceable
Ras85D|sev	fbgn0003205|fbgn0003366	l(3)77CDf	fbgn0010842	suppressible
sens	fbgn0002573	E(z)	fbgn0000629	suppressible
btl::Egfr	fbgn0022739	CG7231	fbgn0031968	enhanceable
stet	fbgn0020248	grk	fbgn0001137	enhanceable
Fak	fbgn0020440	dnc	fbgn0000479	suppressible
mei-41	fbgn0004367	mei-P22	fbgn0016036	suppressible
Fas2	fbgn0000635	aos	fbgn0004569	enhanceable
rho	fbgn0004635	hth	fbgn0001235	suppressible
ct	fbgn0004198	stai	fbgn0266521	suppressible
Egfr	fbgn0003731	Stat92E	fbgn0016917	suppressible
Fmr1	fbgn0028734	Nab2	fbgn0028471	enhanceable
osk	fbgn0003015	Su(osk)P59	fbgn0020888	suppressible
Pgam5	fbgn0023517	shi	fbgn0003392	enhanceable
Snr1	fbgn0011715	Egfr	fbgn0003731	enhanceable
BicD	fbgn0000183	btz	fbgn0045862	enhanceable
trk	fbgn0003751	sty	fbgn0014388	suppressible
TrpA1	fbgn0035934	NPF	fbgn0027109	suppressible
Pdfr	fbgn0260753	dco	fbgn0002413	suppressible
PlexA	fbgn0025741	if	fbgn0001250	suppressible
w	fbgn0003996	z	fbgn0004050	suppressible
N	fbgn0004647	lolal	fbgn0022238	enhanceable
futsch	fbgn0259108	tau	fbgn0266579	suppressible
NT1|spz5	fbgn0261526|fbgn0035379	kek3	fbgn0028370	suppressible
bchs	fbgn0043362	Atg8a	fbgn0052672	suppressible
ex	fbgn0004583	jub	fbgn0030530	suppressible
Ser	fbgn0004197	ebi	fbgn0263933	enhanceable
scrib	fbgn0263289	DCAF12	fbgn0037980	suppressible
mi	fbgn0261786	mir-284	fbgn0262383	suppressible
lncRNA:roX1	fbgn0019661	lncRNA:roX2	fbgn0019660	suppressible
Lim3	fbgn0002023	vvl	fbgn0086680	enhanceable
Bx	fbgn0265598	CG12163	fbgn0260462	enhanceable
par	fbgn0003035	Su(par)	fbgn0003570	suppressible
Myc	fbgn0262656	pont	fbgn0040078	suppressible
ct	fbgn0004198	su(Hw)	fbgn0003567	suppressible
G?o	fbgn0001122	fz	fbgn0001085	suppressible
stumps	fbgn0020299	btl::tor	fbgn0014948	suppressible
Rheb	fbgn0041191	S6k	fbgn0283472	suppressible
pnr	fbgn0003117	EP3283	fbgn0062658	enhanceable
fru	fbgn0004652	Fmr1	fbgn0028734	enhanceable
Raf	fbgn0003079	ksr	fbgn0015402	enhanceable
mir-8	fbgn0262432	ush	fbgn0003963	suppressible
fzr	fbgn0262699	PRAS40	fbgn0267824	suppressible
Pi3K92E	fbgn0015279	RpS5a	fbgn0002590	enhanceable
pnr	fbgn0003117	tyn	fbgn0284435	enhanceable
park	fbgn0041100	hep	fbgn0010303	suppressible
rb	fbgn0003210	w	fbgn0003996	enhanceable
chas	fbgn0263258	jbug	fbgn0028371	suppressible
Sh	fbgn0003380	Shab	fbgn0262593	suppressible
Pink1	fbgn0029891	Usp30	fbgn0029819	suppressible
N	fbgn0004647	sca	fbgn0003326	suppressible
DnaJ-1	fbgn0263106	Mlf	fbgn0034051	enhanceable
para	fbgn0285944	ine	fbgn0011603	enhanceable
Toll-7	fbgn0034476	Tollo	fbgn0029114	enhanceable
bchs	fbgn0043362	Gga	fbgn0030141	enhanceable
Pc	fbgn0003042	brm	fbgn0000212	suppressible
trk	fbgn0003751	bcd	fbgn0000166	suppressible
Ras85D|PpV	fbgn0003205|fbgn0003139	fmt	fbgn0035688	enhanceable
crb	fbgn0259685	dlg1	fbgn0001624	suppressible
Trl	fbgn0013263	Nelf-A	fbgn0038872	suppressible
stumps	fbgn0020299	robo2	fbgn0002543	enhanceable
mod(mdg4)	fbgn0002781	Su(mg)1-2	fbgn0023165	suppressible
galla-1	fbgn0034543	galla-2	fbgn0036107	enhanceable
tum	fbgn0086356	aos	fbgn0004569	enhanceable
yki	fbgn0034970	Diap1	fbgn0260635	suppressible
Ubr3	fbgn0260970	Dronc	fbgn0026404	suppressible
Pvr	fbgn0032006	Crk	fbgn0024811	enhanceable
beat-Ia	fbgn0013433	beat-Ic	fbgn0028644	suppressible
ro	fbgn0003267	wg	fbgn0284084	enhanceable
Act88F	fbgn0000047	Act88F::Scer\ACT1	fbgn0026604	suppressible
tum	fbgn0086356	Mtl|Rac1|Rac2	fbgn0039532|fbgn0010333|fbgn0014011	suppressible
sl	fbgn0003416	spi	fbgn0005672	enhanceable
Mer	fbgn0086384	ft	fbgn0001075	enhanceable
w	fbgn0003996	E(w<up>a</up>)	fbgn0000607	enhanceable
ninaE	fbgn0002940	Rh2	fbgn0003248	suppressible
aurA|sqh	fbgn0000147|fbgn0003514	zip	fbgn0265434	suppressible
CkII?	fbgn0000259	Pdfr	fbgn0260753	suppressible
park	fbgn0041100	GIIIspla2	fbgn0030013	suppressible
CycE	fbgn0010382	l(1)air6	fbgn0004481	suppressible
H	fbgn0001169	S	fbgn0003310	enhanceable
zfh1	fbgn0004606	eve	fbgn0000606	suppressible
arm	fbgn0000117	sdt	fbgn0261873	enhanceable
Rab30	fbgn0031882	hep	fbgn0010303	enhanceable
