Starting_gene(s)_symbol	Starting_gene(s)_FBgn	Interacting_gene(s)_symbol	Interacting_gene(s)_FBgn	Interaction_type
w	fbgn0003996	Rga	fbgn0017550	suppressible
Egfr	fbgn0003731	Shc	fbgn0015296	suppressible
ex	fbgn0004583	kibra	fbgn0262127	enhanceable
not	fbgn0013717	Pros?6	fbgn0002284	enhanceable
y	fbgn0004034	ph-p	fbgn0004861	enhanceable
HUWE1	fbgn0030674	Traf6	fbgn0265464	suppressible
rux	fbgn0003302	CycA	fbgn0000404	suppressible
ksr::tor	fbgn0019804	Lk6	fbgn0017581	enhanceable
arm	fbgn0000117	sgg	fbgn0003371	enhanceable
Shaw	fbgn0003386	Sh	fbgn0003380	enhanceable
Pp2B-14D	fbgn0011826	sty	fbgn0014388	suppressible
Ras85D	fbgn0003205	bul	fbgn0000237	suppressible
Sos	fbgn0001965	Vav	fbgn0040068	enhanceable
Egfr	fbgn0003731	Sos	fbgn0001965	suppressible
Mmp2	fbgn0033438	dlp	fbgn0041604	enhanceable
chico	fbgn0024248	foxo	fbgn0038197	enhanceable
ci	fbgn0004859	Stat92E	fbgn0016917	suppressible
btl|stumps	fbgn0285896|fbgn0020299	Tao	fbgn0031030	suppressible
Pc	fbgn0003042	hpo	fbgn0261456	enhanceable
sens	fbgn0002573	S(ls)5	fbgn0086203	suppressible
da	fbgn0267821	dpn	fbgn0010109	suppressible
peb	fbgn0003053	bsk	fbgn0000229	suppressible
Cdc42	fbgn0010341	nwk	fbgn0263456	enhanceable
caz	fbgn0285954	TER94	fbgn0286784	suppressible
aos	fbgn0004569	SM2-1	fbgn0041619	suppressible
Ctr1A	fbgn0062413	Grx1	fbgn0036820	enhanceable
Pink1	fbgn0029891	Sin1	fbgn0033935	suppressible
Ras85D	fbgn0003205	Pka-C1	fbgn0000273	suppressible
E2f1	fbgn0011766	Dp	fbgn0011763	enhanceable
Rbf	fbgn0015799	p53	fbgn0039044	suppressible
Dsor1	fbgn0010269	rl	fbgn0003256	suppressible
Ilp2	fbgn0036046	ImpL2	fbgn0001257	enhanceable
Abd-B	fbgn0000015	Pc	fbgn0003042	enhanceable
pbl	fbgn0003041	GS9605	fbgn0263853	suppressible
Uvrag	fbgn0032499	Stat92E	fbgn0016917	suppressible
Ras85D|sev	fbgn0003205|fbgn0003366	phyl	fbgn0013725	suppressible
hppy	fbgn0263395	Akt1	fbgn0010379	enhanceable
Socs44A	fbgn0033266	hop	fbgn0004864	enhanceable
Egfr	fbgn0003731	svp	fbgn0003651	suppressible
slpr	fbgn0030018	alph	fbgn0086361	suppressible
Atg1	fbgn0260945	bmm	fbgn0036449	suppressible
ex	fbgn0004583	kibra	fbgn0262127	suppressible
E2f1	fbgn0011766	Su(E1)-G	fbgn0262773	suppressible
pnr	fbgn0003117	EP1081	fbgn0062703	enhanceable
y	fbgn0004034	e(y)2	fbgn0000618	enhanceable
Sxl	fbgn0264270	Myc	fbgn0262656	suppressible
brk	fbgn0024250	mir-ban	fbgn0262451	suppressible
sei	fbgn0003353	dlg1	fbgn0001624	suppressible
bib	fbgn0000180	Dl	fbgn0000463	enhanceable
CycE	fbgn0010382	phyl	fbgn0013725	suppressible
brat	fbgn0010300	Mad	fbgn0011648	suppressible
pnr	fbgn0003117	EP2595	fbgn0062673	enhanceable
Csk	fbgn0262081	dia	fbgn0011202	enhanceable
Gug	fbgn0010825	Tor	fbgn0021796	enhanceable
spict	fbgn0032451	gbb	fbgn0024234	suppressible
Bsg	fbgn0261822	mys	fbgn0004657	enhanceable
park	fbgn0041100	Thor	fbgn0261560	suppressible
csw	fbgn0000382	bs	fbgn0004101	suppressible
N	fbgn0004647	ifx	fbgn0019805	enhanceable
CycE	fbgn0010382	S(CycE<up>JP</up>)3.1	fbgn0082627	suppressible
nos	fbgn0002962	hid	fbgn0003997	suppressible
hid	fbgn0003997	Diap1	fbgn0260635	suppressible
robo1	fbgn0005631	robo2	fbgn0002543	enhanceable
Ten-a	fbgn0267001	Ten-m	fbgn0004449	enhanceable
Ras85D	fbgn0003205	puc|scrib	fbgn0243512|fbgn0263289	suppressible
Ras85D	fbgn0003205	Lkb1	fbgn0038167	suppressible
lz	fbgn0002576	Bgb	fbgn0013753	suppressible
DCTN1-p150	fbgn0001108	Dhc64C	fbgn0261797	suppressible
ac	fbgn0000022	h	fbgn0001168	suppressible
pk	fbgn0003090	Rho1	fbgn0014020	suppressible
ey	fbgn0005558	toy	fbgn0019650	suppressible
